id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
164448,Double room in central Stockholm with Wi-Fi,784312,Li,,Södermalms,59.31389,18.06087,Private room,944,2,430,2024-12-09,2.63,2,177,30,
220851,One room in appartement,412283,Fredric,,Kungsholmens,59.33351,18.03693,Private room,414,2,64,2024-08-30,0.40,2,360,1,
238411,Cozy apartment in central Stockholm,1250232,Mia,,Norrmalms,59.33872,18.05131,Entire home/apt,1320,1,110,2016-12-13,0.69,1,88,0,
242188,Single room in central Stockholm with Wi-Fi,784312,Li,,Södermalms,59.31198,18.06076,Private room,814,2,414,2024-12-01,2.64,2,180,24,
273906,Penthouse in central Stockholm,1432722,Rodrigo,,Södermalms,59.30543,18.10771,Entire home/apt,2750,6,4,2017-07-31,0.03,2,9,0,
299154,Cosy apartment central at Sodermalm,1541953,Daniel,,Södermalms,59.31846,18.07042,Entire home/apt,1190,2,665,2024-10-03,4.73,1,165,41,
299863,Playful temple with genuine meetings for big&small,1322033,Anna,,Hägersten-Liljeholmens,59.30318,17.99521,Entire home/apt,,3,68,2024-09-21,0.43,1,236,10,
301680,one cosy double room for rent,1554143,Anitta,,Älvsjö,59.27635,17.99165,Private room,750,1,38,2024-11-06,0.25,2,365,5,
302496,"Spacious, bright, unique apartment",1557657,Seta,,Norrmalms,59.34685,18.06056,Entire home/apt,4300,5,97,2024-09-03,0.64,1,325,5,
313763,Excellent location in the city center,1533849,Per,,Norrmalms,59.34283,18.0493,Entire home/apt,900,80,51,2019-09-26,0.33,1,177,0,
326304,Beautiful apartment SOFO,1668629,Tova,,Södermalms,59.31352,18.09072,Entire home/apt,1400,3,16,2024-09-29,0.10,1,95,5,
368952,Small house,746396,Madeleine,,Skarpnäcks,59.24656,18.17775,Entire home/apt,360,1,25,2024-12-03,0.16,1,177,6,
385701,"Terrace house in Stockholm, Farsta",1930434,Alex,,Farsta,59.25094,18.09676,Entire home/apt,,8,9,2024-07-31,0.08,1,0,1,
438129,Bunk bed close by Alvsjo Exhibition,914316,Ea,,Enskede-Årsta-Vantörs,59.26424,18.02277,Private room,350,1,44,2024-11-25,0.29,3,365,11,
442837,Modern room in Stockholm with great communication,2200827,Jo,,Hägersten-Liljeholmens,59.310410933554515,18.02404045094815,Private room,,3,100,2023-11-18,0.65,1,0,0,
451155,Spacious house in Stockholm,2240860,Malin,,Enskede-Årsta-Vantörs,59.28003,18.05527,Entire home/apt,2200,3,25,2022-07-24,0.17,1,83,0,
475409,CHARMING 1 Bed Room in City Center (share),2356697,Cor,,Södermalms,59.31412,18.08274,Private room,523,3,41,2017-06-29,0.27,1,29,0,
478105,• ARTISTIC PENTHOUSE NEAR CITY CENTER,1756346,Christian,,Hägersten-Liljeholmens,59.30177,17.99189,Entire home/apt,1399,4,33,2024-08-25,0.23,1,159,2,
533880,Nice room Erik Dahlbergsgatan,2624450,Jarl,,Östermalms,59.34412,18.08957,Private room,,10,105,2018-08-08,0.69,1,0,0,
539747,"Lovely villa, with cinema, gym and jacuzzi!",2651868,Helena,,Skarpnäcks,59.2783119,18.1181517,Entire home/apt,2700,6,4,2024-08-14,0.23,1,329,2,
556363,Spacious apartment at top location,2735709,Lennard,,Norrmalms,59.34171,18.03712,Entire home/apt,1000,4,43,2024-01-15,0.37,1,8,2,
560308,Great 2 bedroom apartment Stockholm,2755002,Checkin,,Bromma,59.33536,17.97669,Entire home/apt,1760,21,14,2023-11-30,0.09,3,93,0,
565912,Savor Sea Views at a Sweet Retreat with Heaving Bookshelves,2782963,Patrik,,Hägersten-Liljeholmens,59.31711,18.00519,Entire home/apt,4245,4,29,2024-07-21,0.21,1,36,4,
568341,Junior 1 bedroom Apartment Stockholm 2,2755002,Checkin,,Kungsholmens,59.33583,18.02983,Entire home/apt,981,1,47,2024-07-21,0.42,3,236,8,
581243,Great Room in City Center,2860556,Edwin,,Östermalms,59.33894,18.0919,Private room,470,1,752,2024-12-24,4.96,1,22,52,
708979,Mysig lägenhet nära stad och natur,1842108,Samuel,,Skarpnäcks,59.292661,18.11225,Entire home/apt,552,14,12,2024-08-12,0.08,1,22,2,
739726,Cozy apartment at Södermalm/SOFO,2400487,Ulla,,Södermalms,59.31414,18.08102,Entire home/apt,,2,104,2024-06-30,0.71,1,0,2,
748847,Gorgeous apartment with balcony in 1885 building,3934547,Heath,,Södermalms,59.31544,18.0755,Entire home/apt,1250,75,18,2021-06-04,0.13,1,95,0,
755843,Nice apartment in the city center,3978910,Pär,,Kungsholmens,59.32881,18.03559,Entire home/apt,1549,2,213,2024-12-15,1.93,1,307,40,
763407,Cozy flat in central Stockholm,3549257,Gabriella,,Norrmalms,59.34489,18.05216,Entire home/apt,1850,3,102,2024-08-05,0.71,1,84,2,
776012,Old town flat with a fantastic view,4093218,Majken,,Södermalms,59.32355,18.0698,Entire home/apt,,1,54,2024-09-01,0.37,1,0,10,
776155,Unique exclusive quiet penthouse/loft,3963441,Ann-Sofie,,Norrmalms,59.34353,18.05081,Entire home/apt,1800,5,20,2018-10-09,0.14,1,27,0,
785218,Unique 3 floor Town House,4139711,Fredrik,,Kungsholmens,59.32142,17.99469,Entire home/apt,1700,5,28,2024-08-08,0.20,1,27,6,
795354,"Exclusive apartment, best location",3972727,Gustav,,Norrmalms,59.33981,18.06163,Entire home/apt,2200,1,55,2024-09-15,0.40,1,0,5,
810344,Style and charm heart of Stockholm,3189338,Lisa,,Östermalms,59.33591,18.08483,Entire home/apt,2500,5,141,2024-11-02,0.99,1,365,8,
822497,Cozy apartment with a terrace!,4319402,Moa,,Hägersten-Liljeholmens,59.29788,17.98505,Entire home/apt,1843,3,50,2024-10-31,0.35,1,9,3,
838442,City Backpackers  - 6 Bed Apartment with Sauna,4380521,City Backpackers,,Norrmalms,59.33593,18.05542,Entire home/apt,2626,1,84,2024-11-10,0.78,3,274,11,
840600,Nice room in central Stockholm,4390012,Anna,,Kungsholmens,59.33633,18.03002,Private room,890,4,133,2024-11-05,0.95,1,323,11,
845365,"Room near forest/beach, 20 min to city center.",4174933,Mae Jane And Mich,,Skärholmens,59.29578,17.92813,Private room,220,1,52,2024-10-01,0.41,2,90,19,
855338,"Modern Apartment, Central Stockholm",1663234,Daniel,,Norrmalms,59.35019,18.05544,Entire home/apt,1300,6,4,2014-06-20,0.03,1,364,0,
858902,Single room-city centre of Sthlm G,4495747,Lotta,,Östermalms,59.33884,18.08536,Private room,740,3,55,2024-12-14,0.39,1,28,11,
884403,"Apartment in Stockholm, Furnished",779150,Henrik,,Södermalms,59.307583,18.080265,Entire home/apt,1320,5,54,2024-09-09,0.37,1,353,1,
897584,"Charming, rural apt near Södermalm",1552575,Viveka,,Hägersten-Liljeholmens,59.30091,17.99012,Entire home/apt,,3,46,2023-12-21,0.32,1,0,0,
903577,Närhet till Globen och Tele2 arena och City,4830362,Jeanette,,Enskede-Årsta-Vantörs,59.28674,18.0953,Private room,873,1,33,2024-05-31,0.31,1,80,1,
916806,Unique place with panoramic view!!,4922434,Julia,,Skärholmens,59.27977,17.89568,Entire home/apt,790,3,338,2024-11-15,2.36,2,276,10,
938750,Penthouse in Stockholm,4664327,Peter,,Södermalms,59.31577,18.07724,Private room,3000,14,1,2013-11-09,0.01,1,365,0,
954832,Central Stockholm studio - also for longer stays,4059782,Mikael,,Kungsholmens,59.33567,18.03108,Entire home/apt,1250,3,334,2024-12-15,2.35,1,271,35,
1048260,Charming & bohemic 1 bedroom flat,5770735,Annika,,Skarpnäcks,59.29782,18.08865,Entire home/apt,800,4,99,2024-08-26,0.70,1,299,6,
1054406,Spacious safe scenic near Stockholm,5806608,Thomas,,Älvsjö,59.27347,17.958,Entire home/apt,921,2,219,2024-12-09,1.82,1,353,29,
1096827,Charming flat in the Garden-suburb,6027093,Anita,,Enskede-Årsta-Vantörs,59.28454,18.0866,Entire home/apt,1000,4,66,2024-08-21,0.47,1,78,9,
1115790,Top floor flat in trendy Hornstull,6123933,Fatima,,Södermalms,59.31793,18.03252,Entire home/apt,2300,5,17,2024-08-02,0.19,1,5,4,
1126893,Stylish apartment in central Sthlm w water view,6182136,Linus,,Kungsholmens,59.32769,18.0365,Entire home/apt,1800,2,33,2024-05-19,0.23,1,168,1,
1153177,Lovely Apartment Central Stockholm,6319741,Terry,,Östermalms,59.34453,18.08507,Entire home/apt,3300,6,170,2024-11-02,1.21,1,343,12,
1158893,Quiet Oasis Near Central Stockholm,2043953,Dany,,Hägersten-Liljeholmens,59.2932,17.95069,Entire home/apt,3683,3,113,2024-08-31,0.87,1,341,9,
1166419,Central apartement in Stockholm!,6387456,Margit,,Norrmalms,59.34858,18.05753,Entire home/apt,850,7,18,2024-04-17,0.13,1,30,1,
1168964,Big bright bedroom - FEMALE guest! Only 1 person!,4640226,Leila,,Skarpnäcks,59.26466,18.12983,Private room,,1,58,2022-10-03,0.41,1,0,0,
1170669,House with garden close to city,6409405,Jennie,,Enskede-Årsta-Vantörs,59.28332,18.04978,Entire home/apt,1800,3,13,2024-07-28,0.09,2,352,5,
1170766,A Studio at Mariaberget,6409820,Annika,,Södermalms,59.32047,18.05648,Private room,,3,250,2024-12-26,1.77,1,224,34,
1170802,Ljust rum nära city,5809604,Petra,,Skarpnäcks,59.28966,18.10292,Private room,,3,6,2022-09-17,0.19,1,0,0,
1173290,Great attic quiet apt in SthlmCity,6422311,Christian,,Norrmalms,59.34001,18.02843,Entire home/apt,1572,28,23,2015-08-10,0.17,2,363,0,
1228583,Södermalm - outstanding view,6701871,Linda,,Södermalms,59.31016,18.05401,Entire home/apt,,3,18,2022-08-18,0.21,1,0,0,
1234960,"Amazing, child friendly house with  large garden",6246528,Jacob,,Enskede-Årsta-Vantörs,59.28009,18.06047,Entire home/apt,3786,3,101,2024-12-10,0.77,1,250,10,
1250227,Idyllic apartment in central Stockh,6812616,Per,,Östermalms,59.34199,18.06906,Entire home/apt,700,90,21,2019-04-05,0.15,1,214,0,
1254130,Attic in the heart of Stockholm,6832481,Amalia,,Norrmalms,59.34153,18.06322,Entire home/apt,1500,10,39,2024-08-17,0.28,1,30,6,
1255668,"Seawiew, and a private terrace - 15 min to city!",6839874,Sandra,,Kungsholmens,59.32357,17.98983,Entire home/apt,2200,5,34,2024-08-10,0.25,1,365,3,
1258584,"Unique VIlla ""in the city""",6854622,Maria & Robert,,Kungsholmens,59.31886,17.98479,Private room,,7,0,,,1,0,0,
1263558,101 sqm in central Stockholm,6879406,Carl,,Norrmalms,59.34607,18.06306,Entire home/apt,2200,14,12,2023-08-13,0.10,1,204,0,
1267540,Cozy family flat in Hornstull,6305220,Nalvia,,Södermalms,59.31815,18.0301,Entire home/apt,,5,4,2024-08-03,0.06,1,0,2,
